"time","country","l"
2020,ABW,106.766
2020,AFG,38928.341
2020,AGO,32866.268
2020,ALB,2877.8
2020,ARE,9890.4
2020,ARG,45195.777
2020,ARM,2963.234
2020,AUS,25499.881
2020,AUT,9006.4
2020,AZE,10139.175
2020,BDI,11890.781
2020,BEL,11589.616
2020,BEN,12123.198
2020,BFA,20903.278
2020,BGD,164689.383
2020,BGR,6948.445
2020,BHR,1701.583
2020,BHS,393.248
2020,BIH,3280.815
2020,BLR,9449.321
2020,BLZ,397.621
2020,BOL,11673.029
2020,BRA,212559.409
2020,BRB,287.371
2020,BRN,437.483
2020,BTN,771.612
2020,BWA,2351.625
2020,CAF,4829.764
2020,CAN,37742.157
2020,CHE,8654.618
2020,CHL,19116.209
2020,CHN,1.439323774e6
2020,CIV,26378.275
2020,CMR,26545.864
2020,COD,89561.404
2020,COG,5518.092
2020,COL,50882.884
2020,COM,869.595
2020,CPV,555.988
2020,CRI,5094.114
2020,CUB,11326.616
2020,CYP,1207.361
2020,CZE,10708.982
2020,DEU,83783.945
2020,DJI,988.002
2020,DNK,5792.203
2020,DOM,10847.904
2020,DZA,43851.043
2020,ECU,17643.06
2020,EGY,102334.403
2020,ERI,3546.427
2020,ESP,46754.783
2020,EST,1326.539
2020,ETH,114963.583
2020,FIN,5540.718
2020,FJI,896.444
2020,FRA,65273.512
2020,GAB,2225.728
2020,GBR,67886.004
2020,GEO,3989.175
2020,GHA,31072.945
2020,GIN,13132.792
2020,GMB,2416.664
2020,GNB,1967.998
2020,GNQ,1402.985
2020,GRC,10423.056
2020,GTM,17915.567
2020,GUY,786.559
2020,HKG,7496.988
2020,HND,9904.608
2020,HRV,4105.268
2020,HTI,11402.533
2020,HUN,9660.35
2020,IDN,273523.621
2020,IND,1.380004385e6
2020,IRL,4937.796
2020,IRN,83992.953
2020,IRQ,40222.503
2020,ISL,341.25
2020,ISR,8655.541
2020,ITA,60461.828
2020,JAM,2961.161
2020,JOR,10203.14
2020,JPN,126476.458
2020,KAZ,18776.707
2020,KEN,53771.3
2020,KGZ,6524.191
2020,KHM,16718.971
2020,KOR,51269.183
2020,KWT,4270.563
2020,LAO,7275.556
2020,LBN,6825.442
2020,LBR,5057.677
2020,LBY,6871.287
2020,LCA,183.629
2020,LKA,21413.25
2020,LSO,2142.252
2020,LTU,2722.291
2020,LUX,625.976
2020,LVA,1886.202
2020,MAC,649.342
2020,MAR,36910.558
2020,MDA,4033.963
2020,MDG,27691.019
2020,MDV,540.542
2020,MEX,128932.753
2020,MKD,2083.38
2020,MLI,20250.834
2020,MLT,441.539
2020,MMR,54409.794
2020,MNE,628.062
2020,MNG,3278.292
2020,MOZ,31255.435
2020,MRT,4649.66
2020,MUS,1271.767
2020,MWI,19129.955
2020,MYS,32365.998
2020,NAM,2540.916
2020,NER,24206.636
2020,NGA,206139.587
2020,NIC,6624.554
2020,NLD,17134.873
2020,NOR,5421.242
2020,NPL,29136.808
2020,NZL,4822.233
2020,OMN,5106.622
2020,PAK,220892.331
2020,PAN,4314.768
2020,PER,32971.846
2020,PHL,109581.085
2020,PNG,8947.027
2020,POL,37846.605
2020,PRT,10196.707
2020,PRY,7132.53
2020,PSE,5101.416
2020,PYF,280.904
2020,QAT,2881.06
2020,ROU,19237.682
2020,RUS,145934.46
2020,RWA,12952.209
2020,SAU,34813.867
2020,SDN,43849.269
2020,SEN,16743.93
2020,SGP,5850.343
2020,SLB,686.878
2020,SLE,7976.985
2020,SLV,6486.201
2020,SRB,8737.37
2020,STP,219.161
2020,SUR,586.634
2020,SVK,5459.643
2020,SVN,2078.932
2020,SWE,10099.27
2020,SWZ,1160.164
2020,SYR,17500.657
2020,TCD,16425.859
2020,TGO,8278.737
2020,THA,69799.978
2020,TJK,9537.642
2020,TKM,6031.187
2020,TLS,1318.442
2020,TON,105.697
2020,TUN,11818.618
2020,TUR,84339.067
2020,TWN,23816.775
2020,TZA,59734.213
2020,UGA,45741.0
2020,UKR,43733.759
2020,URY,3473.727
2020,USA,331002.647
2020,UZB,33469.199
2020,VCT,110.947
2020,VNM,97338.583
2020,VUT,307.15
2020,WSM,198.41
2020,YEM,29825.968
2020,ZAF,59308.69
2020,ZMB,18383.956
2020,ZWE,14862.927
2021,ABW,107.159883018043
2021,AFG,39808.2869354363
2021,AGO,33919.0213304543
2021,ALB,2870.29455280206
2021,ARE,9975.61063305914
2021,ARG,45588.1676990837
2021,ARM,2966.03709177278
2021,AUS,25770.0687815132
2021,AUT,9025.92218416396
2021,AZE,10209.4955897989
2021,BDI,12243.8151402322
2021,BEL,11622.9987339909
2021,BEN,12445.3852486447
2021,BFA,21488.0104909766
2021,BGD,166203.23310889
2021,BGR,6895.24167280052
2021,BHR,1733.09484072945
2021,BHS,396.723038702778
2021,BIH,3266.92752710309
2021,BLR,9436.51031149752
2021,BLZ,404.592978648742
2021,BOL,11827.9522104907
2021,BRA,213836.275822828
2021,BRB,287.656432422686
2021,BRN,441.160453257084
2021,BTN,779.245849099436
2021,BWA,2393.34891619188
2021,CAF,4927.43329622982
2021,CAN,38053.924976396
2021,CHE,8710.35856025858
2021,CHL,19141.1012882396
2021,CHN,1.44302161924956e6
2021,CIV,27045.6222700401
2021,CMR,27209.0518930478
2021,COD,92302.7951415387
2021,COG,5654.50450386224
2021,COL,51105.7562233619
2021,COM,887.890214999228
2021,CPV,561.541349845421
2021,CRI,5135.05016770329
2021,CUB,11312.6660807073
2021,CYP,1214.73302299301
2021,CZE,10718.5094324187
2021,DEU,83730.0902107385
2021,DJI,1001.25296034754
2021,DNK,5813.70141892786
2021,DOM,10945.7726738212
2021,DZA,44536.5860666349
2021,ECU,17857.2895130921
2021,EGY,104147.678750362
2021,ERI,3608.1483126931
2021,ESP,46719.1916545257
2021,EST,1322.5361150534
2021,ETH,117779.399488493
2021,FIN,5546.47621903902
2021,FJI,903.05244620648
2021,FRA,65428.1959265227
2021,GAB,2275.81153885481
